,sofifa_id,age,height_cm,weight_kg,overall,potential,value_eur,wage_eur,preferred_foot,international_reputation,weak_foot,skill_moves,work_rate,body_type,release_clause_eur,team_position,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,best_pos
18,155862,33,184,82,89,89,31500000,300000,1,4,3,3,2,6,64600000.0,9,72.0,68.0,75.0,73.0,87.0,85.0,66,63,92,80,69,65,74,72,83,83,74,71,78,87,66,79,93,80,85,62,90,88,67,71,86,84,85,87,90,11,8,9,7,11,0
19,176580,32,182,86,89,89,53000000,355000,1,5,4,3,2,6,108700000.0,28,73.0,89.0,80.0,84.0,51.0,84.0,78,91,83,82,90,85,86,82,72,84,76,70,79,92,79,88,69,82,86,86,87,41,92,82,83,85,57,45,38,27,25,31,33,37,3
20,188545,30,184,80,89,89,64500000,235000,1,4,4,4,2,6,106400000.0,28,77.0,87.0,74.0,85.0,41.0,82.0,62,88,85,82,88,85,77,85,65,88,77,77,78,90,82,87,84,78,84,84,81,39,91,77,86,86,34,42,19,15,6,12,8,10,3
21,189511,30,189,76,89,89,55000000,300000,1,4,3,3,8,3,112800000.0,3,42.0,62.0,80.0,80.0,85.0,80.0,62,67,68,89,44,80,66,68,82,88,40,43,67,87,49,61,66,86,77,54,85,89,77,86,60,93,90,86,80,5,8,13,9,13,6
22,194765,28,176,73,89,89,69000000,370000,0,4,3,4,0,6,141500000.0,15,81.0,86.0,84.0,89.0,57.0,72.0,83,89,84,85,87,88,86,85,82,90,82,81,90,92,83,82,89,87,63,83,73,49,90,86,86,89,59,54,49,14,8,14,13,14,3
23,211110,25,177,75,88,92,76500000,215000,0,3,3,4,8,6,132000000.0,26,83.0,82.0,84.0,90.0,43.0,64.0,82,80,64,87,88,90,88,88,75,93,86,81,91,84,85,80,75,79,61,86,48,42,80,87,86,84,32,48,40,5,4,4,5,8,6
24,195864,26,191,84,88,91,72500000,250000,1,4,4,5,2,6,143200000.0,11,74.0,81.0,86.0,85.0,66.0,86.0,80,75,75,86,84,87,85,82,90,90,67,79,75,82,66,90,82,87,89,82,78,64,83,88,83,87,63,67,65,5,6,2,4,3,6
25,210257,25,188,86,88,91,54500000,185000,0,2,3,1,8,6,104900000.0,6,0.0,0.0,0.0,0.0,0.0,0.0,20,14,14,56,18,23,15,20,58,40,64,63,60,87,48,70,66,41,68,18,38,27,20,70,17,70,29,15,8,86,82,93,86,88,5
26,202652,24,170,69,88,90,73000000,255000,1,3,3,4,2,3,140500000.0,15,93.0,79.0,78.0,89.0,45.0,57.0,78,83,38,84,67,89,75,63,69,88,96,91,94,89,94,76,57,79,54,77,38,30,91,79,69,79,47,53,47,15,12,12,15,9,4
27,190460,27,181,76,88,89,68000000,205000,1,3,5,4,0,3,130900000.0,24,73.0,81.0,90.0,84.0,53.0,63.0,88,77,52,91,80,81,89,86,89,91,75,71,79,88,80,84,50,93,57,89,46,56,85,92,67,88,59,57,22,9,14,7,7,6,6
28,192119,27,199,96,88,89,48000000,235000,0,4,2,1,8,2,102000000.0,6,0.0,0.0,0.0,0.0,0.0,0.0,14,14,13,33,12,13,19,20,35,23,46,52,61,83,45,54,68,38,70,17,23,15,13,44,27,66,20,18,16,85,89,72,85,87,5
29,152729,32,194,85,88,88,38000000,285000,1,4,3,2,2,6,77900000.0,19,56.0,61.0,72.0,68.0,88.0,80.0,57,65,85,83,57,63,58,43,81,82,48,63,57,85,36,62,75,70,87,51,76,89,64,72,69,87,89,88,87,10,11,14,15,8,0
30,162835,34,193,92,88,88,26000000,110000,1,3,2,1,8,6,44200000.0,6,0.0,0.0,0.0,0.0,0.0,0.0,12,10,10,36,12,12,12,14,34,16,51,55,47,83,36,52,78,41,71,19,25,22,12,41,23,69,25,10,13,88,85,69,89,89,5
31,167495,33,193,92,88,88,32000000,155000,1,5,4,1,8,6,52800000.0,6,0.0,0.0,0.0,0.0,0.0,0.0,15,13,25,55,11,30,14,11,59,46,54,60,51,84,35,68,77,43,80,16,29,30,12,70,47,70,17,10,11,87,87,91,85,87,5
32,167948,32,188,82,88,88,36000000,150000,0,4,1,1,8,3,66600000.0,6,0.0,0.0,0.0,0.0,0.0,0.0,13,10,10,50,11,10,11,10,50,34,65,62,55,86,54,51,74,41,43,14,31,27,10,30,40,65,29,10,18,89,82,68,84,91,5
33,168542,33,173,67,88,88,36000000,265000,0,4,2,4,2,6,66600000.0,10,65.0,74.0,88.0,89.0,52.0,57.0,84,72,54,92,82,87,82,77,84,92,69,61,87,89,88,72,64,73,48,73,57,50,88,91,75,92,59,53,29,6,15,7,6,12,6
34,179813,32,185,77,88,88,47000000,195000,1,4,4,3,0,3,87000000.0,28,75.0,86.0,72.0,79.0,55.0,83.0,70,88,89,78,90,79,77,76,52,81,74,76,74,91,59,88,88,91,79,79,84,54,93,77,85,80,57,48,39,12,5,13,13,10,3
35,182493,33,187,78,88,88,28000000,135000,1,3,3,2,6,3,47600000.0,19,60.0,48.0,64.0,61.0,89.0,83.0,52,42,88,79,47,53,49,49,70,74,61,60,57,81,53,67,90,65,89,43,88,87,48,52,50,82,90,89,87,6,8,15,5,15,0
36,182521,29,183,76,88,88,57000000,330000,1,4,5,3,8,6,116900000.0,10,45.0,80.0,90.0,81.0,70.0,69.0,88,75,58,91,82,80,86,84,92,89,50,41,60,87,71,87,30,74,73,86,60,76,75,89,73,88,72,70,62,10,11,13,7,10,6
37,188350,30,180,71,88,88,56000000,170000,1,4,4,4,2,3,92400000.0,1,85.0,88.0,84.0,87.0,45.0,66.0,82,87,49,86,90,87,89,86,77,88,85,85,86,87,84,88,71,76,67,87,51,48,89,86,90,85,49,37,45,12,12,13,13,11,6
38,188567,30,187,80,88,88,57000000,205000,1,3,4,4,7,3,108300000.0,13,94.0,85.0,75.0,80.0,37.0,69.0,76,89,78,77,86,79,80,74,64,82,93,95,76,87,69,82,79,78,74,79,43,48,90,77,76,85,27,25,36,6,9,15,9,9,3
39,208722,27,175,69,88,88,62000000,220000,1,3,4,4,2,6,114700000.0,15,94.0,83.0,77.0,89.0,44.0,74.0,74,87,81,81,75,89,76,64,71,87,95,93,92,90,86,84,86,85,67,77,75,35,90,83,71,84,42,42,38,10,10,15,7,14,4
40,212218,25,189,85,87,90,56500000,195000,0,2,3,2,8,6,108800000.0,9,64.0,50.0,71.0,68.0,88.0,82.0,58,45,86,81,40,63,61,69,80,77,61,66,59,87,60,68,78,78,85,47,79,87,54,65,44,85,88,89,88,10,11,5,14,5,0
41,218667,24,173,64,87,90,64000000,210000,0,2,3,4,0,3,123200000.0,26,81.0,76.0,83.0,92.0,51.0,67.0,85,78,51,86,69,92,84,67,74,92,85,78,94,85,92,74,51,93,54,75,69,49,85,85,68,87,49,59,40,9,10,14,12,9,4
42,200145,27,185,84,87,89,53500000,240000,1,3,3,2,6,6,113700000.0,3,62.0,72.0,75.0,72.0,85.0,89.0,58,64,76,83,61,69,63,74,82,78,58,66,62,86,66,86,87,88,90,81,89,86,69,77,66,84,84,87,86,13,14,16,12,12,6
43,200104,26,183,78,87,88,60000000,185000,1,3,5,4,0,3,115500000.0,13,88.0,86.0,80.0,87.0,42.0,68.0,81,86,65,83,81,88,85,70,70,87,86,89,86,89,76,88,63,87,62,90,60,39,88,81,71,87,48,34,33,11,13,13,6,10,3
44,135507,34,179,67,87,87,19500000,200000,1,3,4,3,6,3,36100000.0,3,66.0,74.0,79.0,78.0,84.0,79.0,68,69,66,86,74,77,70,72,83,82,68,64,69,89,77,83,78,79,76,78,87,89,70,78,61,81,87,86,80,12,11,5,13,7,6
45,164240,34,183,82,87,87,18500000,135000,1,4,3,2,6,6,34200000.0,9,62.0,54.0,72.0,72.0,87.0,78.0,60,40,81,80,61,67,62,61,80,80,60,64,67,82,67,71,90,71,81,65,76,90,59,70,60,86,88,88,85,9,12,5,9,10,0
46,165153,31,185,81,87,87,45000000,285000,1,4,4,4,7,6,92300000.0,4,76.0,82.0,80.0,86.0,39.0,77.0,75,84,83,85,83,86,81,73,72,90,78,74,78,85,69,82,77,79,80,76,65,39,88,86,82,87,47,24,18,13,11,5,5,7,3
47,172871,32,189,86,87,87,32500000,155000,0,3,3,3,0,6,60100000.0,9,63.0,63.0,74.0,72.0,87.0,79.0,72,56,80,79,52,71,66,70,74,77,60,65,60,85,60,80,85,75,79,66,84,89,56,68,66,84,89,87,88,6,10,9,12,7,0
48,175943,32,169,61,87,87,40000000,135000,1,3,4,4,1,6,68000000.0,29,88.0,83.0,80.0,91.0,35.0,53.0,79,86,40,82,70,91,82,79,74,89,93,83,94,88,92,80,59,73,39,81,59,36,87,83,79,81,25,40,40,7,10,8,10,4,3
49,178603,30,191,94,87,87,41000000,130000,1,4,3,3,2,6,67700000.0,9,51.0,58.0,76.0,72.0,89.0,76.0,64,55,87,81,60,68,65,53,85,81,46,55,64,87,59,71,68,65,85,51,71,89,56,79,68,89,90,89,86,15,6,10,5,6,0
50,184087,30,186,81,87,87,41000000,155000,1,3,3,2,8,6,75900000.0,19,64.0,55.0,72.0,66.0,88.0,79.0,64,45,82,79,38,62,63,69,85,75,61,66,59,87,50,78,84,78,79,58,81,88,54,62,58,86,90,90,86,16,6,14,16,14,0
51,189332,30,170,68,87,87,40000000,240000,0,3,3,3,2,6,82000000.0,8,90.0,69.0,81.0,83.0,79.0,73.0,87,73,70,84,60,81,80,63,79,85,91,90,89,85,85,64,81,92,61,66,77,83,83,78,59,82,74,83,84,13,15,13,6,13,1
52,189509,28,174,70,87,87,50000000,180000,1,3,3,5,8,6,82500000.0,3,69.0,74.0,85.0,90.0,69.0,63.0,78,69,54,90,86,90,85,77,87,91,76,64,91,86,88,76,76,75,59,79,56,83,79,86,75,87,67,67,71,6,11,7,9,13,6
53,193041,32,185,80,87,87,30500000,195000,1,3,3,1,8,6,62500000.0,29,0.0,0.0,0.0,0.0,0.0,0.0,11,15,11,30,11,16,11,15,37,19,54,53,60,84,61,56,74,39,75,13,32,20,16,68,25,67,28,14,14,90,81,75,82,90,5
54,198219,28,163,59,87,87,52000000,140000,1,3,4,4,2,6,88400000.0,14,89.0,79.0,85.0,91.0,35.0,47.0,86,77,59,87,74,90,87,77,78,93,94,85,94,84,93,79,52,72,40,85,34,26,85,89,68,83,49,24,22,8,4,14,9,10,3
55,222492,23,183,75,86,92,61000000,195000,0,2,3,4,2,3,125100000.0,29,95.0,81.0,79.0,86.0,38.0,70.0,83,81,72,80,85,88,83,82,64,85,93,96,86,81,80,87,64,78,70,78,61,34,84,82,71,80,36,32,35,8,12,9,9,14,4
56,207865,25,183,75,86,90,51500000,120000,1,3,3,3,6,6,99100000.0,19,74.0,41.0,73.0,70.0,86.0,77.0,68,33,84,82,31,64,55,32,82,79,72,76,69,85,68,61,89,76,75,35,80,86,59,68,47,86,86,87,87,6,6,12,10,13,0
57,232363,24,187,80,86,90,52000000,89000,1,1,4,2,6,6,92300000.0,9,69.0,41.0,59.0,66.0,87.0,82.0,40,42,82,73,40,67,34,30,69,69,70,69,48,83,51,50,78,75,85,30,86,86,30,57,56,81,92,87,83,10,13,12,8,12,0
58,199556,26,165,60,86,89,54500000,140000,1,3,4,4,6,6,104900000.0,20,65.0,60.0,84.0,90.0,79.0,66.0,75,60,55,90,64,90,74,64,89,89,69,61,91,85,94,56,64,77,52,58,89,84,71,87,64,95,78,82,83,12,12,15,15,10,6
59,205600,25,182,75,86,89,50000000,210000,0,3,3,2,6,6,106300000.0,29,69.0,63.0,69.0,69.0,86.0,82.0,61,51,79,80,65,64,72,62,73,77,66,72,62,82,66,83,88,71,86,74,82,87,51,58,61,82,87,88,85,15,10,14,12,15,0
60,186153,29,195,90,86,88,37500000,135000,1,3,3,1,8,3,64700000.0,6,0.0,0.0,0.0,0.0,0.0,0.0,12,12,16,32,14,11,16,14,36,22,51,47,55,82,51,55,71,45,65,14,40,15,14,48,18,65,20,13,12,85,82,73,86,88,5
61,212622,24,176,73,86,88,48000000,125000,1,3,4,3,1,3,82800000.0,18,72.0,69.0,86.0,84.0,79.0,78.0,91,66,74,87,67,83,85,61,85,85,77,68,84,87,84,76,79,94,66,71,86,80,80,84,44,85,78,80,79,8,15,7,15,15,1
62,197781,27,176,79,86,87,51000000,245000,1,3,3,4,7,6,108400000.0,29,71.0,77.0,83.0,91.0,59.0,60.0,78,79,55,84,67,92,88,76,80,93,74,68,85,76,90,69,61,62,59,84,58,61,79,87,76,86,58,64,51,10,8,12,15,6,6
63,201942,27,181,76,86,87,52000000,170000,1,3,4,4,0,3,100100000.0,4,77.0,82.0,80.0,87.0,61.0,78.0,72,85,78,86,81,88,80,65,76,88,78,77,80,86,81,81,81,88,74,76,73,58,87,86,72,88,60,64,42,8,11,9,6,10,3
64,168651,31,184,78,86,86,38000000,245000,1,4,4,3,8,3,77900000.0,20,62.0,81.0,86.0,81.0,74.0,70.0,84,78,59,86,84,80,88,82,90,87,64,61,73,80,62,84,34,79,71,85,67,79,77,85,82,80,76,73,72,14,11,12,5,9,6
65,180206,29,178,72,86,86,42500000,180000,1,3,4,3,8,6,70100000.0,3,68.0,68.0,87.0,85.0,75.0,67.0,80,56,60,91,72,86,86,92,87,89,69,67,75,84,81,78,60,79,61,82,70,78,68,88,79,86,78,76,70,7,7,13,7,8,6
66,183898,31,180,69,86,86,39000000,150000,0,4,2,5,2,3,72200000.0,15,84.0,79.0,84.0,87.0,48.0,68.0,86,76,51,83,77,87,88,88,80,86,85,84,94,82,77,83,72,78,60,84,73,42,84,86,73,84,41,55,52,10,7,11,12,11,4
67,184344,32,190,85,86,86,28500000,160000,1,3,4,2,3,3,47000000.0,19,58.0,58.0,69.0,70.0,87.0,79.0,44,48,84,77,58,69,56,61,85,75,55,60,61,84,55,74,85,68,82,65,82,90,38,74,70,86,90,86,80,2,2,3,2,4,0
68,189242,27,172,68,86,86,46500000,175000,1,3,4,5,2,6,0.0,10,79.0,80.0,84.0,90.0,52.0,64.0,79,77,48,84,78,90,90,86,82,91,84,75,92,82,93,82,59,76,61,88,59,49,84,86,70,77,55,54,47,12,7,9,14,6,4
69,189513,30,182,74,86,86,41000000,69000,1,2,4,3,8,3,86100000.0,20,41.0,80.0,88.0,79.0,70.0,69.0,84,80,61,91,72,79,89,90,88,85,49,35,64,78,72,79,49,76,71,82,58,81,81,86,83,85,69,68,65,5,9,12,14,8,6
70,189596,29,186,75,86,86,43500000,170000,1,4,4,3,0,3,71800000.0,29,72.0,83.0,79.0,78.0,55.0,71.0,79,87,81,81,84,75,81,59,72,82,69,75,74,91,71,78,77,86,67,80,61,58,92,85,60,84,44,57,46,6,7,11,14,14,6
71,192387,29,185,85,86,86,44500000,105000,1,3,4,3,2,6,75700000.0,28,80.0,85.0,63.0,81.0,39.0,76.0,55,87,81,74,85,83,70,51,49,83,76,83,75,87,63,86,77,79,73,80,77,40,91,65,78,81,34,33,32,6,8,15,12,6,3
72,193301,28,175,73,86,86,46000000,165000,1,3,4,4,0,6,87400000.0,28,82.0,85.0,75.0,86.0,40.0,74.0,68,87,74,81,82,86,74,74,69,86,82,82,85,86,85,86,76,79,73,78,72,42,87,78,84,86,29,42,30,11,6,9,5,6,3
73,235243,19,189,89,85,93,50000000,76000,1,3,4,2,6,6,92500000.0,29,67.0,58.0,66.0,68.0,83.0,84.0,52,50,85,76,40,66,48,55,74,74,61,72,56,83,60,82,84,77,88,64,82,82,44,63,40,82,86,82,80,12,11,11,12,10,0
74,230621,20,196,90,85,92,41500000,34000,1,3,3,1,8,6,78900000.0,6,0.0,0.0,0.0,0.0,0.0,0.0,12,12,12,34,8,28,12,14,24,28,46,54,64,79,38,56,72,34,72,18,30,26,14,50,24,68,20,14,16,90,80,74,80,90,5
75,228702,22,180,74,85,91,52000000,195000,1,3,3,4,6,3,117000000.0,10,79.0,64.0,84.0,87.0,76.0,76.0,75,64,66,90,69,88,84,64,86,89,80,78,84,87,79,68,76,82,74,62,72,81,70,86,45,90,75,75,77,7,13,10,10,9,6
76,201535,26,191,81,85,90,45000000,205000,1,3,3,2,6,3,95600000.0,19,83.0,45.0,62.0,63.0,85.0,80.0,36,40,83,75,42,55,46,52,76,77,79,86,63,83,38,52,79,72,86,53,77,82,44,59,43,84,87,86,85,11,11,9,5,14,0
77,212190,23,195,97,85,90,46500000,115000,1,2,3,2,8,9,80200000.0,19,72.0,42.0,55.0,50.0,86.0,82.0,34,22,86,78,33,43,28,30,69,63,53,87,34,81,33,77,40,66,94,62,83,81,26,40,32,75,85,89,87,15,7,14,7,15,0
78,223848,24,191,76,85,90,50500000,73000,1,2,4,4,2,6,89600000.0,21,67.0,79.0,80.0,83.0,77.0,84.0,64,80,86,85,74,86,78,75,85,87,66,67,65,80,59,83,85,85,88,80,73,78,79,85,56,82,75,77,72,7,10,7,16,7,6
79,231866,23,191,82,85,90,47000000,150000,1,2,4,3,6,3,90500000.0,29,67.0,68.0,77.0,77.0,82.0,80.0,63,64,75,85,59,76,65,54,82,82,68,66,69,82,72,74,69,84,80,76,76,84,75,82,46,85,82,84,78,10,10,7,14,8,6
80,208421,24,184,77,85,89,49500000,77000,0,3,4,3,0,3,105200000.0,10,70.0,78.0,79.0,81.0,78.0,78.0,69,78,83,85,76,81,72,60,83,85,71,70,73,82,69,82,78,87,77,81,69,79,82,82,55,83,77,78,77,7,13,12,10,9,6
81,209499,25,188,78,85,89,45000000,125000,1,3,2,3,6,3,86600000.0,3,68.0,69.0,78.0,77.0,85.0,83.0,75,66,75,83,47,76,71,53,82,82,67,69,66,84,66,78,75,88,81,65,85,88,70,78,91,84,84,86,85,13,12,6,8,8,6
82,216267,25,178,64,85,89,43500000,125000,0,1,2,3,0,3,83700000.0,8,85.0,62.0,77.0,79.0,80.0,75.0,89,57,63,79,32,78,78,30,71,81,83,86,78,84,74,74,62,94,65,65,80,82,76,77,55,79,81,83,80,11,8,10,7,14,1
83,216460,24,185,80,85,89,45000000,69000,1,2,3,2,6,6,95600000.0,19,69.0,45.0,52.0,54.0,86.0,82.0,47,37,81,69,30,50,36,44,62,60,67,70,54,79,39,72,89,64,88,48,89,85,24,27,38,75,88,86,86,9,11,7,10,15,0
84,220440,24,186,81,85,89,45000000,175000,0,2,4,2,6,3,95600000.0,9,75.0,45.0,68.0,65.0,86.0,80.0,55,39,82,81,37,57,59,31,75,76,77,74,62,84,60,58,86,75,82,46,80,87,54,66,49,82,90,83,81,10,10,9,12,7,0
85,212198,24,179,69,85,88,49000000,24000,1,2,4,4,0,3,101700000.0,20,77.0,83.0,87.0,85.0,65.0,74.0,86,77,58,86,86,85,86,87,87,87,79,76,78,84,79,89,72,92,67,88,70,73,81,88,87,86,66,64,57,12,14,15,8,14,6
86,199482,28,184,81,85,87,33500000,88000,0,2,2,1,8,6,66200000.0,6,0.0,0.0,0.0,0.0,0.0,0.0,19,18,16,32,13,15,15,14,31,21,63,64,67,84,62,56,82,36,73,18,43,25,9,48,16,65,13,15,13,87,80,75,84,89,5
87,185122,29,192,86,85,86,31000000,69000,1,2,2,1,8,6,55000000.0,6,0.0,0.0,0.0,0.0,0.0,0.0,16,10,23,29,10,19,18,11,25,25,42,44,41,82,42,61,67,35,74,12,34,23,11,42,24,45,25,16,20,84,86,81,84,86,5
88,189117,28,187,85,85,86,32000000,92000,1,3,2,1,8,6,55200000.0,6,0.0,0.0,0.0,0.0,0.0,0.0,15,8,17,37,13,12,13,12,24,23,44,54,49,83,52,56,74,36,74,14,35,18,10,50,20,58,11,13,16,86,80,74,83,89,5
89,192505,26,190,94,85,86,46000000,115000,0,3,4,3,8,9,81700000.0,14,75.0,82.0,73.0,72.0,35.0,84.0,72,84,85,75,77,78,78,66,71,70,64,84,55,84,46,87,71,75,95,74,71,27,86,73,78,81,30,30,30,8,15,14,7,10,3
90,192774,28,189,83,85,86,37500000,105000,1,3,2,2,3,6,66600000.0,19,82.0,25.0,42.0,60.0,86.0,81.0,27,25,80,60,16,54,30,10,61,65,81,83,68,82,60,40,86,72,82,12,86,86,25,22,26,85,87,87,89,8,6,8,15,12,0
91,194404,29,190,84,85,86,31000000,175000,1,2,2,1,8,3,65900000.0,29,0.0,0.0,0.0,0.0,0.0,0.0,11,15,14,36,12,19,12,13,41,24,56,52,59,79,49,59,83,41,63,20,40,15,11,42,22,64,17,14,15,86,81,79,82,82,5
92,197445,27,180,78,85,86,38000000,135000,0,4,4,3,8,3,65600000.0,8,83.0,73.0,81.0,80.0,80.0,76.0,82,63,74,82,68,79,78,85,79,82,79,86,78,84,78,85,83,85,74,80,69,82,76,77,79,80,80,80,80,5,7,14,15,9,1
93,201399,26,181,75,85,86,46000000,115000,1,3,4,3,7,6,81700000.0,22,75.0,84.0,61.0,77.0,36.0,69.0,46,89,88,73,85,75,58,45,54,80,76,75,75,85,76,84,94,67,73,70,56,22,92,64,82,79,45,24,20,13,9,5,7,9,3
94,204963,27,173,73,85,86,38000000,205000,1,3,3,3,0,9,80800000.0,18,81.0,47.0,78.0,81.0,82.0,80.0,84,41,70,83,34,78,74,47,74,84,79,83,80,84,82,68,77,90,74,36,84,83,75,74,45,82,83,83,85,13,13,15,9,15,1
95,208670,26,181,65,85,86,45000000,39000,0,3,2,4,2,3,66400000.0,17,80.0,75.0,86.0,83.0,50.0,66.0,84,73,53,86,74,83,90,78,89,83,83,77,86,84,78,80,37,84,58,77,73,52,82,89,67,77,44,56,40,11,7,11,8,14,6
96,41236,37,195,95,85,85,14000000,15000,1,5,4,5,7,6,21000000.0,28,56.0,88.0,77.0,77.0,34.0,78.0,70,86,83,77,88,77,80,78,73,84,57,55,72,82,39,90,68,59,87,88,84,20,91,84,89,90,28,37,24,13,15,10,9,12,3
